Date,Relevance,Headline,Detail (Source)
23-Apr-20,0,DIY chain B&Q confirms it has reopened 155 of its stores following a trial opening of a small number of outlets the previous weekend.[274],
23-Apr-20,0,"BBC One airs The Big Night In, a first-of-its-kind joint broadcast with Children in Need and Comic Relief, and featuring an evening of music and entertainment. The broadcast celebrates the acts of kindness, humour and the spirit of hope and resilience that is keeping the nation going during the unprecedented COVID-19 pandemic, with viewers given a chance to donate to a fund helping local charities and projects around the country.[275] The event raises £27m for charity, with the government pledging to double that amount.[276]",
23-Apr-20,0,At 8pm the UK stages a fifth round of applause for NHS staff and key workers.[277],
24-Apr-20,0,"Official UK death toll reaches 20,000","The likely true figure is over 45,000 people. Covid-19 has killed more Britons than died in The Blitz."
24-Apr-20,0,"A further 768 recorded deaths takes the total to 19,506.[278]",
24-Apr-20,0,"The website for key workers to book a coronavirus test temporarily closes after a high demand for the tests; 5,000 test kits are ordered within its first two minutes online. The government says it will make more tests available.[279]",
24-Apr-20,0,"Transport Secretary Grant Shapps announces bilateral discussions with the Irish and French governments to safeguard freight routes, and with the Northern Ireland Executive regarding support for passenger flights.[280] Funding is to be provided to support ferry routes to Northern Ireland,[280] the Isle of Wight and the Isles of Scilly.[281]",
24-Apr-20,0,"A version of ""You'll Never Walk Alone"" recorded by Captain Tom Moore and Michael Ball to raise money for the NHS Charities Together fund reaches number one in the UK Singles Chart.[282]",
24-Apr-20,0,The Northern Ireland Executive agrees to reopen cemeteries in Northern Ireland following public pressure; they had been closed since March.[283],
25-Apr-20,0,"After figures show that A&E attendances are half their usual level, the health service urges people to seek healthcare if needed and not be put off by the coronavirus outbreak.[285]",
25-Apr-20,0,Care home deaths spike as hospital deaths fall,"A third of all coronavirus deaths in England and Wales are now occurring in care homes. The past week has seen 2,000 coronavirus-related deaths in care homes – double that of the previous week, with total deaths now at 3,096. (BBC News)"
25-Apr-20,0,"The number of recorded deaths increases by 813, taking the total past 20,000 to 20,319. Thus the UK becomes the fifth country to pass the 20,000 mark along with the United States, Italy, Spain and France.[284]",
25-Apr-20,0,COVID-19 tests for key workers are booked up within an hour.[286],
25-Apr-20,0,"Guernsey partially lifts its lockdown restrictions, allowing gardeners, mechanics, estate agents and builders to return to work.[287]",
26-Apr-20,0,"The number of recorded deaths rises by 413 taking the total to 20,732. The figure of 413 is the lowest daily total in April.[288]",
26-Apr-20,0,"Professor Stephen Povis tells the Downing Street daily briefing the benefit of social distancing is beginning to be felt, with the stabilisation of the number of new cases, and a reduction of the number of people in hospital.[289]",
27-Apr-20,0,"In his first public statement since returning to work, Boris Johnson says the UK is ""at the moment of maximum risk"" but ""we are now beginning to turn the tide"" as he urges people not to lose patience with the restrictions.[290]",
27-Apr-20,0,"The government announces that the families of NHS and care workers who die because of COVID-19 will be entitled to a payment of £60,000.[291]",
27-Apr-20,0,"The number of recorded deaths from COVID-19 rises by 360, taking the total to 21,092. This is the lowest daily rise for four weeks.[292]",
28-Apr-20,1,Matt Hancock announces that care home figures will be included in the daily death toll from the following day; official figures have previously included only hospital data.[295],
28-Apr-20,0,"More than 4,500 Covid-19 outbreaks counted in care homes before Public Health England releases its findings","As the virus spread, the move left health workers in care homes in the dark about the extent of infections. (BBC News)"
28-Apr-20,0,"Figures from the Office for National Statistics for the week ending 17 April show 22,351 deaths registered in England and Wales, nearly double the five-year average and the highest weekly total since comparable records began in 1993.[293]",
28-Apr-20,0,"The ONS report indicates a third of coronavirus deaths in England and Wales are occurring in care homes, with 2,000 recorded in the week ending 17 April,[294] and the number of deaths from all causes in care homes is almost three times the number recorded three weeks ago.[293]",
28-Apr-20,0,"The number of recorded deaths rises by 586 to 21,678.[296]",
28-Apr-20,0,"Testing capacity reaches 73,000 per day, although only 43,000 were carried out the previous day. Matt Hancock announces that testing will be expanded from the following day to include all care home workers, and people (and their family members) with symptoms who must leave home for their job or are aged over 65.[297]",
28-Apr-20,0,At 11am the UK holds a minute's silence to remember key workers who have died from COVID-19.[298],
28-Apr-20,0,The Scottish Government recommends people cover their faces while in some public places such as shops and on public transport.[299],
29-Apr-20,0,"“We have so far succeeded in the first and most important task we set ourselves as a nation – to avoid the tragedy that engulfed other parts of the world,” says Boris Johnson",At this point Britain has the third highest number of Covid deaths on the planet. (Conservative Party)
29-Apr-20,0,"Speaking to the House of Commons Education Select Committee, Gavin Williamson, the Secretary of State for Education says that the reopening of schools will take place in a ""phased manner"".[300]",
29-Apr-20,0,"Official figures begin including deaths in care homes and the community, meaning the number of recorded deaths rises by 4,419 to 26,097. Dominic Raab tells the Downing Street daily briefing the figures have been included retrospectively, and account for care home and community deaths between 2 March and 28 April. In the most recent 24-hour period there have been 765 deaths.[301][302]",
30-Apr-20,0,"Government artificially inflates testing numbers to meet target of 100,000 tests per day","The Government's testing target is 'met' by mailing out tens of thousands of tests rather than conducting them. In the coming days the tests will fall well below the 100,000 target. Later investigations will also show double-counting of multiple tests on the same person, meaning that testing has in fact never reached more than 80,000 people per day. (Guardian)"
30-Apr-20,0,"The number of recorded deaths rises by 674 to 26,771.[303]",
30-Apr-20,0,"Prime Minister Boris Johnson says the UK is ""past the peak"" of the COVID-19 outbreak but that the country must not ""risk a second spike"", and announces that he will set out ""comprehensive plan"" for easing the lockdown ""next week"". He also stresses the importance of keeping down the reproductive rate, which ""is going to be absolutely vital to our recovery"".[304]",
30-Apr-20,0,"Captain Tom Moore celebrates his 100th birthday, and is made an honorary colonel by the Queen. His appeal to raise money for the NHS reaches £32m.[305]",
30-Apr-20,0,At 8pm the UK stages its weekly round of applause for NHS staff and key workers.[306],
30-Apr-20,0,"ITV announces plans to resume filming live studio-based shows such as Britain's Got Talent and The Masked Singer, but without the presence of an audience.[307]",
30-Apr-20,0,"The British Library is to archive hundreds of essays submitted to BBC Radio 4's PM programme by listeners detailing their coronavirus experiences. The Covid Chronicles, launched in March, has seen listeners submit their accounts of their lives during the lockdown restrictions, some of which have been broadcast.[308]",
01-May-20,1,UK death toll becomes highest in Europe,"As the UK approaches 30,000 recorded deaths, a grim milestone is reached. On the same day The Times reveals that the true number of fatalities is probably around 55,000. (Times)"
01-May-20,0,"The number of recorded deaths increases by 739 to 27,510.[309]",
01-May-20,0,"Matt Hancock confirms the government's target of providing (but not necessarily completing) 100,000 tests a day by the end of April has been met, with 122,347 provided over the previous 24 hours.[310]",
01-May-20,0,Hancock announces that fertility clinics will be allowed to open again from 11 May.[311],
01-May-20,0,"""Times Like These"", a charity single by the Live Lounge Allstars released to raise funds for those affected by the pandemic, reaches number one in the UK Singles Chart.[312]",
01-May-20,0,"Facebook deletes the account of conspiracy theorist David Icke for posting misinformation about the coronavirus pandemic, including claims it is being spread by the 5G network.[313]",
02-May-20,0,"The number of recorded deaths increases by 621 to 28,131.[314]",
02-May-20,0,"Robert Jenrick announces £76m of funding to help vulnerable people, including children, victims of domestic violence and modern slavery, who may be ""trapped in a nightmare"" during the lockdown restrictions.[315]",
02-May-20,0,"Some recycling centres, including those in Greater Manchester, begin to reopen after six weeks.[316]",
02-May-20,0,YouTube becomes the latest social media platform to remove David Icke's official account.[317],
03-May-20,0,"The number of recorded deaths rises by 315 to 28,446.[318]",
03-May-20,0,"In an interview with the Sun on Sunday, Boris Johnson speaks about how contingency plans were made for the event of his death while he was in intensive care.[319]",
03-May-20,0,An NHS contact tracing app designed to track and prevent the spread of COVID-19 will be trialled on the Isle of Wight during the forthcoming week.[320],
04-May-20,0,"The daily recorded death toll rises by 288 to 28,734.[321]",
04-May-20,0,Apple and Google approve a test version of the NHS tracing app.[322],
04-May-20,0,Businessman Simon Dolan announces that he will seek a court injunction to lift the lockdown in Britain.[323],
05-May-20,0,"Figures from the Office for National Statistics for the week ending 24 April show 21,997 deaths from all causes registered in England and Wales; this is a decrease of 354 from the previous week but still nearly twice the five-year average for the time of year. Deaths per week in hospital are falling while those in care homes continue to increase, and for the year to 24 April, 5,890 deaths in care homes involved COVID-19.[4]",
05-May-20,0,New Zealand records no new cases for second day in a row (Metro),
05-May-20,0,Spain extends state of emergency (Reuters),
05-May-20,0,"The number of recorded deaths rises by 693 to 29,427,[324] giving the UK the highest number of COVID-19 related deaths in Europe.[325]",
05-May-20,0,Trials of the NHS contact-tracing app start on the Isle of Wight with the app being made available to healthcare and council workers.[326],
05-May-20,0,"NHS Nightingale Hospital North East, a temporary critical care hospital built near Sunderland for COVID-19 patients, is officially opened by Health Secretary Matt Hancock. The virtual ceremony features TV celebrities Ant and Dec, football pundit Alan Shearer and cricketer Ben Stokes.[327]",
05-May-20,0,"Figures from the Society of Motor Manufacturers and Traders (SMMT) indicate just 4,321 new cars were registered in April, the lowest monthly number since 1946 and a 97% fall on sales from April 2019; 70% of new cars for the month were company fleet vehicles.[328]",
05-May-20,0,"Airline operator Virgin Atlantic announces it has shed more than 3,000 jobs and ended operations at Gatwick Airport as a result of the COVID-19 outbreak.[329]",
05-May-20,0,"Sir Patrick Vallance tells the House of Commons Health Select Committee earlier testing for COVID-19 would have been ""beneficial"" but would not have prevented the spread of the virus.[330]",
05-May-20,0,"Professor Neil Ferguson, whose advice led the government to implement the lockdown restrictions, resigns from the Scientific Advisory Group for Emergencies after the Daily Telegraph reports a woman named as his ""married lover"" visited his home during the restrictions.[331]",
06-May-20,0,"Real rate of new Covid-19 cases is 18,000 a day, UK Government is told","The Government's target is to reduce infection rates to 4,000 new cases a day. (Sunday Times)"
06-May-20,0,"At his first Prime Minister's Questions since returning to work Boris Johnson says he ""bitterly regrets"" the crisis in care homes and is ""working very hard"" to tackle it. Johnson also pledges to reach a target of 200,000 daily UK coronavirus tests by the end of May.[332]",
06-May-20,0,"A further 649 deaths take the number of recorded deaths to 30,076.[333]",
06-May-20,0,"John Holland-Kaye, the CEO of Heathrow Airport, tells the Transport Select Committee that the airport is trialling large-scale temperature checks at departure gates.[334]",
07-May-20,0,"The Bank of England warns that the economy is on course to shrink by 14% in 2020 because of the impact of COVID-19, pushing the UK into its deepest recession on record.[337]",
07-May-20,0,Professor asks Government to stop using his study to avoid scrutiny,"Sir David Spiegelhalter, the author of a study cited by the Prime Minister as a reason not to compare the UK's coronavirus death toll with other countries, requests that the Government stop misrepresenting his work. (Guardian)"
07-May-20,0,UK Government misses 100k test target for fifth day running (Guardian),
07-May-20,0,Gowns ordered from Turkey fail to meet safety standards,"Some of the 400,000 gowns ordered from a Turkish t-shirt salesman do not meet British safety standards. Just 4,500 have been given to the NHS as Johnson's spokesperson says the supplier is being contacted about replacements or a refund. The supplier says he has received no complaints. (BBC)"
07-May-20,0,Madrid and Barcelona denied permission to ease lockdown (Guardian),
07-May-20,0,"A further 539 recorded deaths take the total number of COVID-19 related deaths to 30,615.[335]",
07-May-20,0,"The government confirms that 400,000 gowns ordered from Turkey to protect NHS staff from coronavirus have been impounded, after failing to meet the required safety standards.[336][244]",
07-May-20,0,"Nicola Sturgeon extends the lockdown restrictions in Scotland for another three weeks, but says they could be changed if there is evidence it is safe to do so.[338]",
07-May-20,0,"Baroness Dido Harding, chair of NHS Improvement and former CEO of TalkTalk, is appointed to lead the government's programme of testing and tracing, supported by John Newton of Public Health England.[339] Testing will be led by Sarah-Jane Marsh, chief executive of Birmingham Women's and Children's Hospitals, and tracing will be led by Tom Riordan, chief executive of Leeds City Council.[340]",
07-May-20,0,"The 2020 Notting Hill Carnival, scheduled for the August Bank Holiday weekend, is cancelled because of the COVID-19 outbreak.[341]",
07-May-20,0,"The UK stages another round of applauouse for NHS staff and key workers, the seventh to be held on consecutive Thursdays at 8pm.[342]",
08-May-20,0,"For the first time, more than half of all daily coronavirus deaths occur in care homes","On this day, deaths in care homes where patients tested positive for Covid-19 account for 51% of fatalities. (ITV News)"
08-May-20,0,"Mark Drakeford, the First Minister of Wales, extends the lockdown restrictions for a further three weeks but with some minor changes. People are allowed to exercise outside more than once a day and councils can plan for the reopening of libraries and tips. Some garden centres can also reopen.[343]",
08-May-20,0,"The number of recorded deaths rises by 626 to 31,241. They include a six-week-old baby.[344]",
08-May-20,0,"With the UK beginning another Bank Holiday weekend, Environment Secretary George Eustace urges the public to abide by the rules of the lockdown restrictions and warns people have to be ""realistic"" about the loosening of the measures.[345]",
09-May-20,0,"10,000 new daily cases in Russia as it reaches 200,000 infections (Guardian)",
09-May-20,0,"Scientists warn Government that UK could see 100,000 coronavirus deaths if lockdown is eased too soon","Johnson is told by scientists that he has ""very limited room for manoeuvre."" (Sunday Times)"
09-May-20,0,"A further 346 recorded deaths take the total to 31,587.[346]",
09-May-20,0,"Transport Secretary Grant Shapps announces £2bn of investment to improve walking and cycling, describing it as a chance for a ""once in a generation change"" to the way the public travels.[347]",
10-May-20,1,"The UK government updates its coronavirus message from ""stay at home, protect the NHS, save lives"" to ""stay alert, control the virus, save lives"". The Opposition Labour Party expresses concern the slogan could be confusing, and leaders of the devolved governments in Scotland, Wales and Northern Ireland say they will keep the original slogan.[348]",
10-May-20,0,"Johnson eases lockdown, telling Britons to ""stay alert""","Despite the UK having the second highest coronavirus death toll in the world, Johnson abandons the ""stay at home"" message, replacing it with the widely mocked ""stay alert"". The UK public is told to return to work if working from home is not possible, but to avoid public transport. The following morning, a Monday, people travel to work before ministers clarify that the new regime is in fact due to begin on Wednesday. (SCMP)"
10-May-20,0,"A new alert scale system is announced, ranging from green (level one) to red (level five), similar to the UK's Terror Threat Levels.[349]",
10-May-20,0,Johnson criticised for confused lockdown plan as he makes his first statement in Parliament on the crisis,It is only the second time Johnson has made a Commons statement on anything in 2020. (Politico)
10-May-20,0,Nicola Sturgeon removes the once-a-day outdoors exercise limit in Scotland starting from the following day.[350],
10-May-20,0,"The number of recorded deaths increases by 269 to reach 31,855.[351]",
10-May-20,0,"A recorded address by Boris Johnson is broadcast at 7pm in which he outlines a ""conditional plan"" to reopen society, but says it is ""not the time simply to end the lockdown this week"", and describes the plans as ""the first careful steps to modify our measures"". Those who cannot work from home, such as construction workers and those in manufacturing, are encouraged to return to work from the following day, but to avoid public transport if possible. The guidance on the number of outdoor exercise periods will be lifted from Wednesday 13 May.[352]",
10-May-20,0,"Outlining future easing of restrictions, Johnson says ""step two"" – no sooner than 1 June – would include reopening some shops and the return of primary school pupils, beginning with reception, Year 1 and Year 6; and that secondary pupils facing exams next year would get some time in school before the summer holiday. ""Step three"" – at the earliest by July – would begin the reopening of the hospitality industry and other public places.[353]",
10-May-20,0,Johnson also says that passengers arriving into the UK on international flights (apart from those from the Republic of Ireland) will soon be asked to go into quarantine for fourteen days.[354],
11-May-20,0,"The UK government advises people in England to wear face coverings in enclosed spaces where social distancing is not possible, such as on public transport and in shops.[360]",
11-May-20,0,New Zealand reports another two consecutive days without new coronavirus cases,"200,000 tests have now been conducted in New Zealand - just over 4% of the population. Coronavirus deaths remain at 21. (RNZ)"
11-May-20,0,The UK government publishes a 50-page document setting out further details of the phases for lifting the lockdown restrictions. Boris Johnson gives further details as he makes his first statement on the virus to Parliament.[357][358],
11-May-20,0,"Amid concerns about the safety of people returning to work, Johnson tells the Downing Street daily briefing he is not expecting a ""sudden big flood"" of people returning to work, and that companies will have to prove they have introduced safety measures before they can reopen.[359]",
11-May-20,0,"A further 210 deaths takes the total to 32,065.[361]",
11-May-20,0,Air passengers arriving on flights from France will also be exempt from new quarantine rules.[362],
11-May-20,0,"Sir David Norgrove, chair of the UK Statistics Authority, writes to Matt Hancock seeking clarity on the targets for the number of tests, and the reporting of the number carried out each day.[363]",
11-May-20,0,"Teaching unions express their concern at government plans to reopen schools on 1 June, describing them as ""reckless"" and unsafe.[364]",
12-May-20,0,"Figures released by the Office for National Statistics and the devolved administrations indicate the death toll from COVID-19 exceeds 40,000 – including almost 11,000 care home residents[365] – although week-by-week numbers continue to fall.[366] In care homes in England and Wales, the year-to-date COVID-19 total reaches 8,312 but the weekly number (to 1 May) shows a decrease for the first time since the start of the pandemic.[366]",
12-May-20,0,"The Northern Ireland Executive publishes a five-stage plan for exiting lockdown. Unlike those announced in England and the Republic of Ireland, the plans do not include any dates when steps may be taken.[367][368]",
12-May-20,0,"Chancellor Rishi Sunak extends the UK's furlough scheme until October, with employees continuing to receive 80% of their monthly wages up to £2,500. A quarter of the workforce, some 7.5 million people, are now covered by the scheme, costing £14bn a month.[369]",
12-May-20,0,"The number of recorded deaths rises by 627 to 32,692.[370]",
12-May-20,0,"The Reading and Leeds Festivals, scheduled for the weekend of 28–30 August, are cancelled because of the ongoing COVID-19 outbreak.[371]",
13-May-20,1,"Lockdown measures are eased in England, allowing people to spend more time outside, meet someone from another household providing it is on a one-to-one basis and they practise social distancing, and play physically distanced sports, such as golf. Garden centres are also allowed to open.[372] House moves and viewings are now permitted under the changes.[373]",
13-May-20,0,"Care homes ""completely abandoned""","The Government abandoned ""the most frail and vulnerable"" in care homes, says Nadra Ahmed, chair of the National Care Association. (BBC News)"
13-May-20,0,"After figures indicate the UK economy shrank by 2% in the first three months of 2020 and is shrinking at the fastest rate since the late 2000s global recession, Chancellor Rishi Sunak says it is ""very likely"" the country is in a ""significant recession"".[374]",
13-May-20,0,"A further 494 deaths take the total to 33,186.[375]",
13-May-20,0,"Creamfields, scheduled for 27–30 August, announces the cancellation of the 2020 edition due to the pandemic.[376]",
14-May-20,1,"Figures compiled by NHS England giving a breakdown of underlying health conditions among COVID-19 hospital fatalities between 31 March and 12 May indicate one in four had diabetes. Other common health conditions were dementia (18%), serious breathing problems (15%), chronic kidney disease (14%), and ischaemic heart disease (10%).[379]",
14-May-20,1,"The Office for National Statistics publishes results of the early phase of a survey programme in England. From swab tests between 27 April and 10 May, they estimate that 148,000 people, or 0.27% of the population, had COVID-19 at any given time during those two weeks (95% confidence interval: 94,000 to 222,000).[380] This implies roughly 10,000 new cases per day.[381] No significant difference is found between broad age groups. Their estimate for people working in healthcare or social care is higher, at 1.33% (confidence interval: 0.39% to 3.28%). The survey does not include people in hospital or care homes, where rates of infection are likely to be higher still.[380]",
14-May-20,0,"""The Government failed in its duty to protect the public,"" says British Medical Journal","A blistering editorial in the prestigious British Medical Journal condemns the Government's inadequate response to the coronavirus crisis as ""too little, too late, too flawed"". The Government ""ignored warnings"" and presided over a response which was neither ""well prepared nor remotely adequate"", failing in its duty to protect the public and health workers. (BMJ)"
14-May-20,0,"The number of recorded deaths increases by 428 to 33,614.[377]",
14-May-20,0,"A total of 126,064 tests for COVID-19 have been conducted in the most recent 24 hour period, the highest number to date.[378]",
14-May-20,0,Public Health England approves a blood test developed by Roche Diagnostics that can detect COVID-19 antibodies.[382],
14-May-20,0,"Northern Ireland First Minister Arlene Foster announces the first steps for easing the lockdown in Northern Ireland, with garden centres and recycling centres allowed to reopen from Monday 18 May. Marriage ceremonies where a person is terminally ill will also be allowed.[383]",
14-May-20,0,"The Office for Budget Responsibility forecasts the cost to government of combating the coronavirus pandemic has risen to £123.2bn, with annual borrowing estimated to be 15.2% of the UK economy. This figure is the highest annual borrowing since the end of World War II when it stood at 22.1%.[384]",
14-May-20,0,Transport for London is given £1.6bn of emergency government funding to keep bus and tube services running until September.[385],
14-May-20,0,"The BBC announces plans to resume the filming of EastEnders and Top Gear in June, with cast and crew practising social distancing, and doing their own hair and makeup.[386]",
14-May-20,0,The UK stages its eighth Clap for Our Carers event at 8pm.[387],
15-May-20,0,One-third of care homes in England report coronavirus outbreaks,"Official data shows over 5,500 care homes out of a total of around 15,500 in England have had confirmed or suspected outbreaks of Covid-19 since early March. (BBC News)"
15-May-20,0,"Europe must brace for a deadly second wave of coronavirus infections this winter, warns WHO","The organisation's European chief says he is ""very concerned"" about the prospect of an even more deadly wave of Covid-19 later in the year. (The Sun)"
15-May-20,0,Johnson again puts protecting Cummings before protecting the public,"Asked by MPs if it will be compulsory for people to self-isolate at home if instructed to do so by contract tracers, the PM refuses to say yes, knowing that if he does he compromises his defence of Cummings. (Telegraph)"
15-May-20,0,"Government scientific advice says that the R number has increased slightly from between 0.5 and 0.9 to between 0.7 and 1.0, closer to the rate at which infections could start to exponentially increase. The figures are said to be ""consistent with"" the fall in cases in the community and the rise of cases in care homes, but are based on data from three weeks previously, so the effect of easing the lockdown measures is unknown.[388]",
15-May-20,0,"The number of recorded deaths rises by 384 to 33,998.[389]",
15-May-20,0,"A report on deaths in care homes in England and Wales from the Office for National Statistics finds 9,039 deaths between 2 March and 1 May, and a further 3,444 deaths of residents in hospital. In this period, COVID-19 was involved in 27% of all deaths of care home residents. Since the last week of March, non-COVID deaths have been higher than previous years; deaths of residents from all causes peaked around 14 April.[390]",
15-May-20,0,Matt Hancock announces that every resident and staff member in care homes in England will be tested for COVID-19 by early June.[391],
15-May-20,0,"First Minister of Wales Mark Drakeford outlines a ""traffic lights"" route out of lockdown for Wales, which he describes as being ""in the red zone"", but does not give any dates for when the restrictions will be eased.[392]",
15-May-20,0,Government scientists and teaching unions hold talks in a bid to safely reopen schools.[393] The British Medical Association voices its support for the unions over their concerns about the safety of resuming classes.[394],
15-May-20,0,"The places of worship task force, a body consisting of leading members of faith groups and government representatives, has its inaugural meeting. The group was established in response to Boris Johnson's 10 May address, in which he said religious buildings could reopen by 4 July, and aims to examine how this can happen safely.[395]",
16-May-20,0,"The number of recorded deaths increases by 468 to 34,466.[396]",
16-May-20,0,"Anne Longfield, the Children's Commissioner for England, urges the government and teaching unions to ""stop squabbling and agree a plan"" to reopen schools, warning that the closure of schools is impacting negatively on disadvantaged children.[397]",
16-May-20,0,"Coronavirus protests involving the gathering of people are held at venues around the UK, including Hyde Park in London, and Glasgow Green in Glasgow.[398][399]",
17-May-20,0,Italy eases lockdown,"Shops, restaurants and hair salons reopen, as social distancing rules remain. (Reuters)"
17-May-20,0,"In an article for The Mail on Sunday, Boris Johnson acknowledges frustrations with the government's ""stay alert"" message for England, but urges the public to be patient as the lockdown measures are eased.[400]",
17-May-20,0,"The number of recorded deaths rises by 170 to 34,636. The daily increase is the lowest since the day after the lockdown restrictions were introduced.[401]",
17-May-20,0,"At the Downing Street daily briefing, Business Secretary Alok Sharma announces a further £84m of funding to help mass-produce a COVID-19 vaccine being trialled by the University of Oxford and that should be available by September. He also tells the briefing that Oxford have secured an agreement with pharmaceutical company AstraZeneca to manufacture the vaccine, and distributed it to the UK first.[402]",
18-May-20,1,The UK adds loss of smell and loss of taste to the list of COVID-19 symptoms that people should look out for.[406],
18-May-20,0,New Zealand records a further two days without new coronavirus cases,"The country has now had eight days in May without new cases reported and just over 1,500 total infections. (Reuters)"
18-May-20,0,"Rail operators begin running more train services, while security guards trained in crowd control are placed on duty at some major railway stations.[403]",
18-May-20,0,"The London congestion charge is reinstated, and buses in London begin charging passenger fares once again. As part of the £1.6bn deal to bail out Transport for London, the congestion charge will also rise from £11.50 to £15 from 22 June.[404]",
18-May-20,0,"Jury trials resume at a handful of courts in England and Wales, having been suspended since the beginning of the lockdown restrictions.[405]",
18-May-20,0,Health Secretary Matt Hancock announces that anyone in the UK over the age of five with symptoms can now be tested for COVID-19.[407],
18-May-20,0,"Matt Hancock also confirms that 21,000 contact tracers have been recruited across the UK and are ready to begin work.[408]",
18-May-20,0,"The number of recorded deaths rises by 160 to 34,796.[409]",
18-May-20,0,Foreign Secretary Dominic Raab tells the Downing Street daily briefing that it is “not sustainable” to keep the lockdown in place “permanently” but that the Government is monitoring the changes it makes.[410],
18-May-20,0,First Minister of Scotland Nicola Sturgeon sets out plans to begin easing Scotland's lockdown restrictions from 28 May.[411],
18-May-20,0,"The 2020 Chelsea Flower Show begins, and is held as a virtual festival for the first time.[412]",
18-May-20,0,English Premier League football clubs vote to allow teams to begin training in small groups from the following day as a step towards restarting football in England.[413],
18-May-20,0,Celtic are declared Scottish champions for the ninth season in a row while Hearts are relegated after the Scottish Professional Football League ends the 2019–20 season early because of the COVID-19 outbreak.[414],
19-May-20,0,"Over 11,000 coronavirus deaths in UK care homes (BBC News)",
19-May-20,0,World sees largest daily rise in coronavirus cases,"The WHO issues a stark warning that the pandemic is far from over as 106,000 new cases are recorded globally in 24 hours, the most in a single day to date. (Guardian)"
19-May-20,0,"Northern Ireland further eases its lockdown measures. Groups of up to six people who do not share the same household are allowed to meet up outdoors, so long as they maintain social distancing. Churches are allowed to reopen for private prayer, and the playing of sports such as golf and tennis can resume.[415]",
19-May-20,0,"Figures from the Office for National Statistics show the number of people claiming Jobseeker's Allowance increased by 856,500 in April, to 2.1 million. In response to this Chancellor Rishi Sunak says that it will take time for the UK economy to recover and it is ""not obvious there will be an immediate bounceback"".[416]",
19-May-20,0,"A further 545 deaths are recorded, taking the total to 35,341.[417]",
19-May-20,0,"As figures show there have been 11,600 deaths in care homes as a result of COVID-19, Professor Martin Green, chair of Care England, criticises the government for the way it handled the outbreak in care homes, and tells MPs they should have been prioritised from the start.[418]",
19-May-20,0,"Security researchers identify major security issues with the NHS COVID-19 tracing app being piloted on the Isle of Wight, and call for new legislation to prevent officials using the data collected for purposes other than identifying those at risk from the virus.[419]",
19-May-20,0,"Captain Tom Moore, who raised £32m for NHS charities, is to be knighted for his fundraising efforts following a special nomination from Boris Johnson.[420]",
20-May-20,0,"Europe should prepare for a second wave of Covid-19 cases, says EU coronavirus chief","""The question is when and how big"" a second wave of infections will be, says Dr Andrea Ammon of the European Centre for Disease Prevention and Control. (Guardian)"
20-May-20,0,"Tens of thousands of UK coronavirus tests are being double-counted, it is revealed","Multiple samples from the same patient are being recorded as separate tests in official figures, UK public health officials admit. (Telegraph)"
20-May-20,0,"At Prime Minister's Questions, Boris Johnson confirms that a track and trace system will be in place from 1 June.[421]",
20-May-20,0,"The Government faces mounting pressure from councils and teaching unions to reconsider its plans to reopen primary schools from 1 June. Robert Buckland, the Secretary of State for Justice, says the Government is taking all concerns ""very seriously"">[422]",
20-May-20,0,"Rolls-Royce announce plans to cut 9,000 jobs as a result of the COVID-19 outbreak, and warns that it could take several years for the airline industry to recover.[423]",
20-May-20,0,"The number of recorded deaths rises by 363 to 35,704.[424]",
20-May-20,0,"The number of people in hospital with COVID-19 drops below 10,000 for the first time since March.[425]",
20-May-20,0,"People with diabetes are being strongly advised to follow government advice after a study by NHS England found the condition was linked to a third of coronavirus deaths between 1 March and 11 May. Diabetics are not among the people who have been told to shield themselves, but some may be asked to do so if they are deemed to be at high risk because of a combination of health conditions.[426]",
20-May-20,0,"At the Downing Street daily briefing, Secretary of State for Digital, Culture, Media and Sport Oliver Dowden announces the establishment of a task force that will look at how sporting and arts events can resume safely. The task force will include former women's footballer Alex Scott and television executive Michael Grade.[427]",
20-May-20,0,Dowden announces that £150m from dormant bank accounts will be used to help charities and social enterprises.[428],
20-May-20,0,"The 2020 Queen's Birthday Honours is delayed until the autumn in order to recognise the ""everyday Covid heroes"" who have played a role in supporting and protecting society during the crisis.[429]",
20-May-20,0,Figures released by Public Health England indicate no new coronavirus cases were reported in London over the 24-hour period up to Monday 18 May.[430],
21-May-20,0,"Arrivals to the UK will need to isolate, Government says","Arrivals to the UK will have to quarantine for two weeks or face a fine, the Government announces, nearly 4 months after the first UK cases. (Guardian)"
21-May-20,0,"The NHS Confederation warns that time is running out to finalise a test, track and trace strategy to avoid a possible second surge in coronavirus cases.[431]",
21-May-20,0,"First Minister of Scotland Nicola Sturgeon outlines a four-phase ""route map"" for easing lockdown restrictions in Scotland that will include allowing people to meet up outside with people from one other household in the first phase. The lockdown will be eased from 28 May subject to the number of new cases of COVID-19 continuing to fall.[432] Schools in Scotland will reopen on 11 August, when students will receive a ""blended model"" of part-time study at school combined with some learning at home.[433]",
21-May-20,0,"Northern Ireland Education Minister Peter Weir outlines plans for schools to reopen in Northern Ireland in August, with a phased return for students.[434]",
21-May-20,0,"Following an agreement between the Government and the Swiss pharmaceutical company Roche, a COVID-19 antibody test is made available through the NHS, with health and care staff to be the first to receive it. The test checks to see if someone has had the virus.[435]",
